parameter,genotype,bacteria,mean_auc,mean_auc_col0,diff_vs_col0,p_value_vs_col0,mean_auc_mock,diff_vs_mock,p_value_vs_mock
mean_fluorescence_node,DR5v2,mock,3447.5613213094753,2955.2714094094977,492.2899118999776,0.4160429505185013,3447.5613213094753,0.0,
mean_fluorescence_node,Col-0,417pvd,10119.698324905323,10119.698324905323,0.0,,2955.2714094094977,7164.426915495826,5.034699701956342e-06
mean_fluorescence_node,Col-0,417r,11633.892685921746,11633.892685921746,0.0,,2955.2714094094977,8678.62127651225,9.010504179783365e-07
mean_fluorescence_node,Col-0,mock,2955.2714094094977,2955.2714094094977,0.0,,2955.2714094094977,0.0,
mean_fluorescence_node,,417pvd,,10119.698324905323,,,,,
mean_fluorescence_node,,417r,,11633.892685921746,,,,,
mean_fluorescence_node,,mock,,2955.2714094094977,,,,,
mean_fluorescence_dilated_root_exclusive,DR5v2,417pvd,5487.447138349715,5550.457409163542,-63.01027081382745,0.6099519653383636,3772.745006107779,1714.702132241936,5.938485386209291e-14
mean_fluorescence_dilated_root_exclusive,DR5v2,417r,5569.869210522642,5561.07428523439,8.794925288251761,0.9213489809788712,3772.745006107779,1797.124204414863,2.157229253691938e-20
mean_fluorescence_dilated_root_exclusive,DR5v2,mock,3772.745006107779,3631.2855229020515,141.45948320572734,0.39074132038522996,3772.745006107779,0.0,
mean_fluorescence_dilated_root_exclusive,Col-0,417pvd,5550.457409163542,5550.457409163542,0.0,,3631.2855229020515,1919.1718862614907,5.629057242255856e-06
mean_fluorescence_dilated_root_exclusive,Col-0,417r,5561.07428523439,5561.07428523439,0.0,,3631.2855229020515,1929.7887623323386,6.852938964462309e-06
mean_fluorescence_dilated_root_exclusive,Col-0,mock,3631.2855229020515,3631.2855229020515,0.0,,3631.2855229020515,0.0,
mean_fluorescence_dilated_root_exclusive,,417pvd,,5550.457409163542,,,,,
mean_fluorescence_dilated_root_exclusive,,417r,,5561.07428523439,,,,,
mean_fluorescence_dilated_root_exclusive,,mock,,3631.2855229020515,,,,,
