group1,group2,meandiff,p-adj,lower,upper,reject,parameter,significant
417r_RP043,mock_HYB007,-363460.9167,0.9999,-5936609.362,5209687.529,FALSE,sum_fluorescence_lateral_root,FALSE
417r_RP043,mock_RP043,-1963223.75,0.8874,-8282580.095,4356132.595,FALSE,sum_fluorescence_lateral_root,FALSE
mock_HYB007,mock_RP043,-1599762.833,0.9578,-8260949.299,5061423.632,FALSE,sum_fluorescence_lateral_root,FALSE
358r_HYB007,358r_RP043,-200.5143,1,-29851.6929,29450.6643,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_HYB007,417r_HYB007,24690.2024,0.1126,-3482.7519,52863.1567,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_HYB007,417r_RP043,27917.7857,0.0402,850.0868,54985.4846,TRUE,sum_fluorescence_main_root_tip,TRUE
358r_HYB007,mock_HYB007,-3589.881,0.9987,-31762.8352,24583.0733,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_HYB007,mock_RP043,-4580.1143,0.9969,-34231.2929,25071.0643,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_RP043,417r_HYB007,24890.7167,0.1657,-5772.7374,55554.1708,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_RP043,417r_RP043,28118.3,0.0709,-1532.8786,57769.4786,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_RP043,mock_HYB007,-3389.3667,0.9994,-34052.8208,27274.0874,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_RP043,mock_RP043,-4379.6,0.9982,-36406.5333,27647.3333,FALSE,sum_fluorescence_main_root_tip,FALSE
417r_HYB007,417r_RP043,3227.5833,0.9993,-24945.3709,31400.5376,FALSE,sum_fluorescence_main_root_tip,FALSE
417r_HYB007,mock_HYB007,-28280.0833,0.0625,-57516.5397,956.373,FALSE,sum_fluorescence_main_root_tip,FALSE
417r_HYB007,mock_RP043,-29270.3167,0.068,-59933.7708,1393.1374,FALSE,sum_fluorescence_main_root_tip,FALSE
417r_RP043,mock_HYB007,-31507.6667,0.0214,-59680.6209,-3334.7124,TRUE,sum_fluorescence_main_root_tip,TRUE
417r_RP043,mock_RP043,-32497.9,0.0252,-62149.0786,-2846.7214,TRUE,sum_fluorescence_main_root_tip,TRUE
mock_HYB007,mock_RP043,-990.2333,1,-31653.6874,29673.2208,FALSE,sum_fluorescence_main_root_tip,FALSE
358r_HYB007,358r_RP043,-424922.3,0.3858,-1081218.129,231373.5289,FALSE,sum_fluorescence_other_tip,FALSE
358r_HYB007,417r_HYB007,718319.3333,0.0164,94742.3536,1341896.313,TRUE,sum_fluorescence_other_tip,TRUE
358r_HYB007,417r_RP043,144383.9286,0.9767,-454729.4546,743497.3117,FALSE,sum_fluorescence_other_tip,FALSE
358r_HYB007,mock_HYB007,-210230.4286,0.8922,-809343.8117,388882.9546,FALSE,sum_fluorescence_other_tip,FALSE
358r_HYB007,mock_RP043,-608851.1667,0.0588,-1232428.146,14725.8131,FALSE,sum_fluorescence_other_tip,FALSE
358r_RP043,417r_HYB007,1143241.633,0.0002,464540.2123,1821943.054,TRUE,sum_fluorescence_other_tip,TRUE
358r_RP043,417r_RP043,569306.2286,0.1197,-86989.6003,1225602.058,FALSE,sum_fluorescence_other_tip,FALSE
358r_RP043,mock_HYB007,214691.8714,0.9175,-441603.9575,870987.7003,FALSE,sum_fluorescence_other_tip,FALSE
358r_RP043,mock_RP043,-183928.8667,0.9615,-862630.2877,494772.5543,FALSE,sum_fluorescence_other_tip,FALSE
417r_HYB007,417r_RP043,-573935.4048,0.0855,-1197512.385,49641.575,FALSE,sum_fluorescence_other_tip,FALSE
417r_HYB007,mock_HYB007,-928549.7619,0.0011,-1552126.742,-304972.7821,TRUE,sum_fluorescence_other_tip,TRUE
417r_HYB007,mock_RP043,-1327170.5,0,-1974286.914,-680054.0858,TRUE,sum_fluorescence_other_tip,TRUE
417r_RP043,mock_HYB007,-354614.3571,0.4842,-953727.7403,244499.026,FALSE,sum_fluorescence_other_tip,FALSE
417r_RP043,mock_RP043,-753235.0952,0.0107,-1376812.075,-129658.1155,TRUE,sum_fluorescence_other_tip,TRUE
mock_HYB007,mock_RP043,-398620.7381,0.3997,-1022197.718,224956.2417,FALSE,sum_fluorescence_other_tip,FALSE
358r_HYB007,358r_RP043,-398913.6667,0.5461,-1217393.51,419566.1765,FALSE,sum_fluorescence_node,FALSE
358r_HYB007,417r_HYB007,570243.0833,0.0913,-76822.0475,1217308.214,FALSE,sum_fluorescence_node,FALSE
358r_HYB007,417r_RP043,193310.2083,0.7944,-348063.3212,734683.7379,FALSE,sum_fluorescence_node,FALSE
358r_HYB007,mock_HYB007,-383922.8333,0.2648,-962675.4807,194829.814,FALSE,sum_fluorescence_node,FALSE
358r_HYB007,mock_RP043,-487309.9167,0.173,-1134375.048,159755.2142,FALSE,sum_fluorescence_node,FALSE
358r_RP043,417r_HYB007,969156.75,0.0278,101027.7789,1837285.721,TRUE,sum_fluorescence_node,TRUE
358r_RP043,417r_RP043,592223.875,0.1779,-200265.8255,1384713.576,FALSE,sum_fluorescence_node,FALSE
358r_RP043,mock_HYB007,14990.8333,1,-803489.0098,833470.6765,FALSE,sum_fluorescence_node,FALSE
358r_RP043,mock_RP043,-88396.25,0.9989,-956525.2211,779732.7211,FALSE,sum_fluorescence_node,FALSE
417r_HYB007,417r_RP043,-376932.875,0.3303,-990792.7574,236927.0074,FALSE,sum_fluorescence_node,FALSE
417r_HYB007,mock_HYB007,-954165.9167,0.005,-1601231.048,-307100.7858,TRUE,sum_fluorescence_node,TRUE
417r_HYB007,mock_RP043,-1057553,0.0046,-1766377.337,-348728.6633,TRUE,sum_fluorescence_node,TRUE
417r_RP043,mock_HYB007,-577233.0417,0.0358,-1118606.571,-35859.5121,TRUE,sum_fluorescence_node,TRUE
417r_RP043,mock_RP043,-680620.125,0.0289,-1294480.007,-66760.2426,TRUE,sum_fluorescence_node,TRUE
mock_HYB007,mock_RP043,-103387.0833,0.9909,-750452.2142,543678.0475,FALSE,sum_fluorescence_node,FALSE
358r_HYB007,358r_RP043,-120985539.9,0.0124,-222984176.9,-18986902.91,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
358r_HYB007,417r_HYB007,111738100.9,0.0343,5574553.583,217901648.2,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
358r_HYB007,417r_RP043,24625258,0.9737,-74134497.62,123385013.6,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
358r_HYB007,mock_HYB007,-67589520.5,0.3645,-169588157.5,34409116.52,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
358r_HYB007,mock_RP043,-163557187.9,0.0006,-269720735.2,-57393640.58,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
358r_RP043,417r_HYB007,232723640.8,0,126560093.5,338887188.2,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
358r_RP043,417r_RP043,145610797.9,0.0011,46851042.3,244370553.6,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
358r_RP043,mock_HYB007,53396019.43,0.6182,-48602617.59,155394656.4,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
358r_RP043,mock_RP043,-42571647.99,0.8299,-148735195.3,63591899.35,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
417r_HYB007,417r_RP043,-87112842.92,0.1382,-190168488.9,15942803.02,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
417r_HYB007,mock_HYB007,-179327621.4,0.0002,-285491168.7,-73164074.08,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
417r_HYB007,mock_RP043,-275295288.8,0,-385466408.5,-165124169.2,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
417r_RP043,mock_HYB007,-92214778.5,0.0787,-190974534.1,6544977.124,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
417r_RP043,mock_RP043,-188182445.9,0,-291238091.9,-85126799.98,TRUE,sum_fluorescence_dilated_root_exclusive,TRUE
mock_HYB007,mock_RP043,-95967667.42,0.0957,-202131214.7,10195879.92,FALSE,sum_fluorescence_dilated_root_exclusive,FALSE
358r_HYB007,358r_RP043,-128952241.5,0.0126,-237892840.9,-20011642.05,TRUE,sum_fluorescence_dilated_root,TRUE
358r_HYB007,417r_HYB007,130136125.4,0.0167,16747154.45,243525096.3,TRUE,sum_fluorescence_dilated_root,TRUE
358r_HYB007,417r_RP043,38542284.41,0.8776,-66938997.44,144023566.3,FALSE,sum_fluorescence_dilated_root,FALSE
358r_HYB007,mock_HYB007,-77001145.14,0.2961,-185941744.6,31939454.31,FALSE,sum_fluorescence_dilated_root,FALSE
358r_HYB007,mock_RP043,-176800142.6,0.0005,-290189113.5,-63411171.71,TRUE,sum_fluorescence_dilated_root,TRUE
358r_RP043,417r_HYB007,259088366.9,0,145699396,372477337.8,TRUE,sum_fluorescence_dilated_root,TRUE
358r_RP043,417r_RP043,167494525.9,0.0004,62013244.06,272975807.8,TRUE,sum_fluorescence_dilated_root,TRUE
358r_RP043,mock_HYB007,51951096.36,0.7048,-56989503.09,160891695.8,FALSE,sum_fluorescence_dilated_root,FALSE
358r_RP043,mock_RP043,-47847901.13,0.7981,-161236872,65541069.79,FALSE,sum_fluorescence_dilated_root,FALSE
417r_HYB007,417r_RP043,-91593840.96,0.1495,-201663388.7,18475706.77,FALSE,sum_fluorescence_dilated_root,FALSE
417r_HYB007,mock_HYB007,-207137270.5,0,-320526241.4,-93748299.6,TRUE,sum_fluorescence_dilated_root,TRUE
417r_HYB007,mock_RP043,-306936268,0,-424605564.1,-189266971.9,TRUE,sum_fluorescence_dilated_root,TRUE
417r_RP043,mock_HYB007,-115543429.6,0.0249,-221024711.4,-10062147.71,TRUE,sum_fluorescence_dilated_root,TRUE
417r_RP043,mock_RP043,-215342427,0,-325411974.8,-105272879.3,TRUE,sum_fluorescence_dilated_root,TRUE
mock_HYB007,mock_RP043,-99798997.49,0.1114,-213187968.4,13589973.43,FALSE,sum_fluorescence_dilated_root,FALSE
358r_HYB007,358r_RP043,-6072847.667,0.819,-20998420.65,8852725.321,FALSE,sum_fluorescence_shoot,FALSE
358r_HYB007,417r_HYB007,11097303.25,0.244,-3828269.738,26022876.24,FALSE,sum_fluorescence_shoot,FALSE
358r_HYB007,417r_RP043,494552.2381,1,-13888089.77,14877194.25,FALSE,sum_fluorescence_shoot,FALSE
358r_HYB007,mock_HYB007,362982.6667,1,-14019659.35,14745624.68,FALSE,sum_fluorescence_shoot,FALSE
358r_HYB007,mock_RP043,-9478981.833,0.3679,-23861623.85,4903660.178,FALSE,sum_fluorescence_shoot,FALSE
358r_RP043,417r_HYB007,17170150.92,0.0165,2244577.929,32095723.9,TRUE,sum_fluorescence_shoot,TRUE
358r_RP043,417r_RP043,6567399.905,0.738,-7815242.107,20950041.92,FALSE,sum_fluorescence_shoot,FALSE
358r_RP043,mock_HYB007,6435830.333,0.7537,-7946811.678,20818472.35,FALSE,sum_fluorescence_shoot,FALSE
358r_RP043,mock_RP043,-3406134.167,0.9786,-17788776.18,10976507.85,FALSE,sum_fluorescence_shoot,FALSE
417r_HYB007,417r_RP043,-10602751.01,0.2522,-24985393.02,3779891,FALSE,sum_fluorescence_shoot,FALSE
417r_HYB007,mock_HYB007,-10734320.58,0.2404,-25116962.6,3648321.428,FALSE,sum_fluorescence_shoot,FALSE
417r_HYB007,mock_RP043,-20576285.08,0.0017,-34958927.1,-6193643.072,TRUE,sum_fluorescence_shoot,TRUE
417r_RP043,mock_HYB007,-131569.5714,1,-13949965.04,13686825.9,FALSE,sum_fluorescence_shoot,FALSE
417r_RP043,mock_RP043,-9973534.071,0.2729,-23791929.54,3844861.402,FALSE,sum_fluorescence_shoot,FALSE
mock_HYB007,mock_RP043,-9841964.5,0.2862,-23660359.97,3976430.973,FALSE,sum_fluorescence_shoot,FALSE
358r_HYB007,358r_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_HYB007,417r_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_HYB007,417r_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_HYB007,mock_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_HYB007,mock_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_RP043,417r_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_RP043,417r_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_RP043,mock_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
358r_RP043,mock_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
417r_HYB007,417r_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
417r_HYB007,mock_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
417r_HYB007,mock_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
417r_RP043,mock_HYB007,0,,0,0,FALSE,n_pixels_unknown,FALSE
417r_RP043,mock_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
mock_HYB007,mock_RP043,0,,0,0,FALSE,n_pixels_unknown,FALSE
